review_id,example_id,blinded_system_id,system_id
REV-026,SpotifyCares:1614273:1614273:1614271,System_Beta,baseline_1_rules
REV-027,SpotifyCares:1614273:1614273:1614271,System_Gamma,main_agent_v1
REV-028,SpotifyCares:2877413:2877413:2877411,System_Alpha,baseline_0_majority
REV-029,SpotifyCares:2877413:2877413:2877411,System_Beta,baseline_1_rules
REV-030,SpotifyCares:2877413:2877413:2877411,System_Gamma,main_agent_v1
REV-031,SpotifyCares:1269780:1269780:1269779,System_Alpha,baseline_0_majority
REV-032,SpotifyCares:1269780:1269780:1269779,System_Beta,baseline_1_rules
REV-033,SpotifyCares:1269780:1269780:1269779,System_Gamma,main_agent_v1
REV-034,SpotifyCares:1238326:1238326:1238324,System_Alpha,baseline_0_majority
REV-035,SpotifyCares:1238326:1238326:1238324,System_Beta,baseline_1_rules
REV-036,SpotifyCares:1238326:1238326:1238324,System_Gamma,main_agent_v1
REV-037,SpotifyCares:1662710:1662710:1662709,System_Alpha,baseline_0_majority
REV-038,SpotifyCares:1662710:1662710:1662709,System_Beta,baseline_1_rules
REV-039,SpotifyCares:1662710:1662710:1662709,System_Gamma,main_agent_v1
REV-040,SpotifyCares:1974290:1974290:1974289,System_Alpha,baseline_0_majority
REV-041,SpotifyCares:1974290:1974290:1974289,System_Beta,baseline_1_rules
REV-042,SpotifyCares:1974290:1974290:1974289,System_Gamma,main_agent_v1
REV-043,SpotifyCares:2028417:2028417:2028416,System_Alpha,baseline_0_majority
REV-044,SpotifyCares:2028417:2028417:2028416,System_Beta,baseline_1_rules
REV-045,SpotifyCares:2028417:2028417:2028416,System_Gamma,main_agent_v1
REV-046,SpotifyCares:564524:564524:564522,System_Alpha,baseline_0_majority
REV-047,SpotifyCares:564524:564524:564522,System_Beta,baseline_1_rules
REV-048,SpotifyCares:564524:564524:564522,System_Gamma,main_agent_v1
REV-049,SpotifyCares:971889:971889:971888,System_Alpha,baseline_0_majority
REV-050,SpotifyCares:971889:971889:971888,System_Beta,baseline_1_rules
REV-051,SpotifyCares:971889:971889:971888,System_Gamma,main_agent_v1
REV-052,SpotifyCares:1898607:1898607:1898606,System_Alpha,baseline_0_majority
REV-053,SpotifyCares:1898607:1898607:1898606,System_Beta,baseline_1_rules
REV-054,SpotifyCares:1898607:1898607:1898606,System_Gamma,main_agent_v1
REV-055,SpotifyCares:2863030:2863030:2863029,System_Alpha,baseline_0_majority
REV-056,SpotifyCares:2863030:2863030:2863029,System_Beta,baseline_1_rules
REV-057,SpotifyCares:2863030:2863030:2863029,System_Gamma,main_agent_v1
REV-058,SpotifyCares:1990907:1990907:1990906,System_Alpha,baseline_0_majority
REV-059,SpotifyCares:1990907:1990907:1990906,System_Beta,baseline_1_rules
REV-060,SpotifyCares:1990907:1990907:1990906,System_Gamma,main_agent_v1
REV-061,SpotifyCares:2959349:2959349:2959347,System_Alpha,baseline_0_majority
REV-062,SpotifyCares:2959349:2959349:2959347,System_Beta,baseline_1_rules
REV-063,SpotifyCares:2959349:2959349:2959347,System_Gamma,main_agent_v1
REV-064,SpotifyCares:2144256:2144256:2144254,System_Alpha,baseline_0_majority
REV-065,SpotifyCares:2144256:2144256:2144254,System_Beta,baseline_1_rules
REV-066,SpotifyCares:2144256:2144256:2144254,System_Gamma,main_agent_v1
REV-067,SpotifyCares:1101343:1101343:1101342,System_Alpha,baseline_0_majority
REV-068,SpotifyCares:1101343:1101343:1101342,System_Beta,baseline_1_rules
REV-069,SpotifyCares:1101343:1101343:1101342,System_Gamma,main_agent_v1
REV-070,SpotifyCares:2717757:2717757:2717755,System_Alpha,baseline_0_majority
REV-071,SpotifyCares:2717757:2717757:2717755,System_Beta,baseline_1_rules
REV-072,SpotifyCares:2717757:2717757:2717755,System_Gamma,main_agent_v1
REV-073,SpotifyCares:278120:278120:278119,System_Alpha,baseline_0_majority
REV-074,SpotifyCares:278120:278120:278119,System_Beta,baseline_1_rules
REV-075,SpotifyCares:278120:278120:278119,System_Gamma,main_agent_v1
REV-076,SpotifyCares:1533093:1533093:1533092,System_Alpha,baseline_0_majority
REV-077,SpotifyCares:1533093:1533093:1533092,System_Beta,baseline_1_rules
REV-078,SpotifyCares:1533093:1533093:1533092,System_Gamma,main_agent_v1
REV-079,SpotifyCares:2597243:2597243:2597240,System_Alpha,baseline_0_majority
REV-080,SpotifyCares:2597243:2597243:2597240,System_Beta,baseline_1_rules
REV-081,SpotifyCares:2597243:2597243:2597240,System_Gamma,main_agent_v1
REV-082,SpotifyCares:1964855:1964855:1964854,System_Alpha,baseline_0_majority
REV-083,SpotifyCares:1964855:1964855:1964854,System_Beta,baseline_1_rules
REV-084,SpotifyCares:1964855:1964855:1964854,System_Gamma,main_agent_v1
REV-085,SpotifyCares:1872388:1872388:1872387,System_Alpha,baseline_0_majority
REV-086,SpotifyCares:1872388:1872388:1872387,System_Beta,baseline_1_rules
REV-087,SpotifyCares:1872388:1872388:1872387,System_Gamma,main_agent_v1
REV-088,SpotifyCares:948048:948048:948047,System_Alpha,baseline_0_majority
REV-089,SpotifyCares:948048:948048:948047,System_Beta,baseline_1_rules
REV-090,SpotifyCares:948048:948048:948047,System_Gamma,main_agent_v1
