example_id,intent,handling_decision,handling_reason,required_reply_elements,prohibited_claims_or_actions,needs_clarification,annotation_confidence,annotator_id,notes
SpotifyCares:1458250:1458245:1458246,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: challenge] Product feedback / suggestion or UX complaint.
SpotifyCares:1535159:1535157:1535155,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1578726:1578722:1578720,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:16535:16533:16531,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1695043:1695042:1695041,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: challenge] Product feedback / suggestion or UX complaint.
SpotifyCares:1745143:1745141:1745140,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,human_annotator_1,[Subset: challenge] Billing / payment inquiry.
SpotifyCares:174975:174967:174969,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,False,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:1768995:1768995:1768994,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1803125:1803124:1803123,account_access,escalate,facebook_deletion_account_recovery,empathize with lockout; explain that accounts created via Facebook need support assistance to migrate to email login; direct to secure contact form or DM,do not tell user account is permanently lost; do not ask for Facebook password,False,high,human_annotator_1,[Subset: challenge] Facebook deletion / disconnection account lockout.
SpotifyCares:184176:184171:184169,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:1858491:1858489:1858487,content_availability,auto_handle,licensing_explanation,explain music availability depends on agreements with rights holders; suggest checking back as catalog agreements update regularly,do not promise specific release date; do not claim artist refuses to stream,False,high,human_annotator_1,[Subset: challenge] Catalog content availability / licensing question.
SpotifyCares:1917832:1917832:1917831,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1921260:1921260:1921259,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1939189:1939188:1939187,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:1948209:1948207:1948206,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:1964142:1964142:1964141,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1971842:1971842:1971841,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1979790:1979788:1979786,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:2059128:2059128:2059127,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:211091:211089:211088,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:2218827:2218827:2218825,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:2259597:2259595:2259594,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:2344417:2344412:2344414,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: challenge] Product feedback / suggestion or UX complaint.
SpotifyCares:2427676:2427674:2427671,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:2432972:2432971:2432970,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:2460088:2460087:2460086,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:2466915:2551340:2551338,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:2754908:2754907:2754906,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:2763666:2763665:2763664,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,human_annotator_1,[Subset: challenge] Billing / payment inquiry.
SpotifyCares:2917881:2917881:2917880,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:2924742:2924743:2926807,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,human_annotator_1,[Subset: challenge] Billing / payment inquiry.
SpotifyCares:2929840:2929839:2929838,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: challenge] Technical support / app glitch issue.
SpotifyCares:328171:328171:328170,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:379742:379741:379740,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:379991:379991:379992,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:45742:45741:45740,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:54754:54753:54752,content_availability,auto_handle,licensing_explanation,explain music availability depends on agreements with rights holders; suggest checking back as catalog agreements update regularly,do not promise specific release date; do not claim artist refuses to stream,False,high,human_annotator_1,[Subset: challenge] Catalog content availability / licensing question.
SpotifyCares:707084:707083:707085,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:76242:76242:76241,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,human_annotator_1,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:784880:784875:784874,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,human_annotator_1,[Subset: challenge] Billing / payment inquiry.
SpotifyCares:1026773:1026773:1026772,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1101343:1101343:1101342,subscription_and_plans,auto_handle,family_plan_management_guidance,explain family plan invitation and member verification rules via account overview page,do not promise manual email dispatch,False,high,human_annotator_1,[Subset: random] Subscription plan configuration inquiry.
SpotifyCares:1118202:1118202:1118201,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,human_annotator_1,[Subset: random] Billing / payment inquiry.
SpotifyCares:1140003:1140003:1140004,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:1147127:1147127:1147126,subscription_and_plans,auto_handle,family_plan_management_guidance,explain family plan invitation and member verification rules via account overview page,do not promise manual email dispatch,False,high,human_annotator_1,[Subset: random] Subscription plan configuration inquiry.
SpotifyCares:120298:120298:120297,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:1209357:1209357:1209356,account_access,auto_handle,login_troubleshooting_self_serve,direct to spotify.com/password-reset; suggest checking spam folder; recommend testing web player login,do not ask for account password publicly,False,high,human_annotator_1,[Subset: random] Standard account access / password reset inquiry.
SpotifyCares:1238326:1238326:1238324,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1269780:1269780:1269779,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1277339:1277339:1277337,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:128862:128862:128861,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1302227:1302227:1302225,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:130413:130413:130412,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:135142:135142:135141,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:1376536:1376532:1376530,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1376539:1376539:1376538,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1415657:1415657:1415656,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1427224:1427224:1427223,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1430112:1430112:1430111,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1487007:1487007:1487006,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,human_annotator_1,[Subset: random] Technical support / app glitch issue.
SpotifyCares:1533093:1533093:1533092,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1602049:1602049:1602048,account_access,escalate,facebook_deletion_account_recovery,empathize with lockout; explain that accounts created via Facebook need support assistance to migrate to email login; direct to secure contact form or DM,do not tell user account is permanently lost; do not ask for Facebook password,False,high,human_annotator_1,[Subset: random] Facebook deletion / disconnection account lockout.
SpotifyCares:1614273:1614273:1614271,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1662710:1662710:1662709,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1667926:1667926:1667925,content_availability,auto_handle,licensing_explanation,explain music availability depends on agreements with rights holders; suggest checking back as catalog agreements update regularly,do not promise specific release date; do not claim artist refuses to stream,False,high,human_annotator_1,[Subset: random] Catalog content availability / licensing question.
SpotifyCares:1677555:1677555:1677554,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1681220:1681220:1681219,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:172472:172472:172471,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1776708:1776708:1776706,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1787279:1787279:1787278,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1803339:1803339:1803338,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1810810:1810810:1810809,billing_and_payments,auto_handle,trial_cancellation_policy_explanation,explain that cancelling a trial keeps Premium active until the end of the current period; explain how to cancel on spotify.com/account,do not cancel account directly in chat without access,False,high,human_annotator_1,[Subset: random] Billing / payment inquiry.
SpotifyCares:1811278:1811278:1811277,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:1814490:1814490:1814489,platform_and_regional,auto_handle,regional_or_device_compatibility_guidance,explain platform/regional compatibility; direct to official newsroom or partner setup guide,do not promise unannounced regional launch dates or unreleased integrations,False,high,human_annotator_1,[Subset: random] Platform compatibility or regional availability inquiry.
SpotifyCares:1815249:1815249:1815248,billing_and_payments,escalate,billing_dispute_requires_account_lookup,acknowledge unexpected charge; guide to secure private support or contact form to review billing transactions safely,do not promise refund autonomously; do not request or expose credit card details publicly,False,high,human_annotator_1,[Subset: random] Billing dispute / unexpected charge inquiry requiring transaction lookup.
SpotifyCares:1816107:1816107:1816105,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:1816318:1816318:1816317,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1818682:1818682:1818681,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update,False,high,human_annotator_1,[Subset: random] Product feedback / suggestion or UX complaint.
SpotifyCares:1826282:1826282:1826284,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1826539:1826539:1826537,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1831601:1831601:1831600,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1849609:1849609:1849608,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1850804:1850804:1850803,platform_and_regional,auto_handle,regional_or_device_compatibility_guidance,explain platform/regional compatibility; direct to official newsroom or partner setup guide,do not promise unannounced regional launch dates or unreleased integrations,False,high,human_annotator_1,[Subset: random] Platform compatibility or regional availability inquiry.
SpotifyCares:1872388:1872388:1872387,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1872721:1872721:1872720,content_availability,auto_handle,licensing_explanation,explain music availability depends on agreements with rights holders; suggest checking back as catalog agreements update regularly,do not promise specific release date; do not claim artist refuses to stream,False,high,human_annotator_1,[Subset: random] Catalog content availability / licensing question.
SpotifyCares:1873073:1873073:1873071,content_availability,auto_handle,licensing_explanation,explain music availability depends on agreements with rights holders; suggest checking back as catalog agreements update regularly,do not promise specific release date; do not claim artist refuses to stream,False,high,human_annotator_1,[Subset: random] Catalog content availability / licensing question.
SpotifyCares:1876893:1876893:1876892,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,human_annotator_1,[Subset: random] Billing / payment inquiry.
SpotifyCares:1879488:1879488:1879487,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1883120:1883120:1883119,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1887548:1887548:1887547,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,False,high,human_annotator_1,"[Subset: random] Social mention, praise, banter, or ambiguous message."
