review_id,example_id,blinded_system_id,customer_message,retrieved_evidence,predicted_reply,relevance_human,grounding_human,usefulness_human,tone_human,critical_error_human,annotator_id,notes
REV-011,SpotifyCares:2039869:2039869:2039868,System_Beta,@[CUSTOMER_HANDLE] Hey i got an email about the majid jordan presale ending at 11pm est but there's no place to put the access code on the website :(,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,0,2,0,1,0,roy8,
REV-012,SpotifyCares:2039869:2039869:2039868,System_Gamma,@[CUSTOMER_HANDLE] Hey i got an email about the majid jordan presale ending at 11pm est but there's no place to put the access code on the website :(,"[Evidence Case 1: SpotifyCares:1839790:1839790:1839788]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] give us the damn Majid Jordan presale code""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey [CUSTOMER_NAME], pre-sale codes are being sent out by email to some of Majid Jordan's biggest fans on Spotify. Hopefully you're one of them! /TF""","Hey , pre-sale codes are being sent out by email to some of Majid Jordan's biggest fans on Spotify. Hopefully you're one of them!",2,2,1,2,0,roy9,
REV-013,SpotifyCares:1993423:1993423:1993422,System_Alpha,@[CUSTOMER_HANDLE] how long should it take for me to get access??,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,1,2,0,roy10,
REV-014,SpotifyCares:1993423:1993423:1993422,System_Beta,@[CUSTOMER_HANDLE] how long should it take for me to get access??,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,0,2,0,1,0,roy11,
REV-015,SpotifyCares:1993423:1993423:1993422,System_Gamma,@[CUSTOMER_HANDLE] how long should it take for me to get access??,"[Evidence Case 1: SpotifyCares:1112286:1112286:1112285]
Historical Customer Inquiry: ""Hey @[CUSTOMER_HANDLE]  how long does it take for an artist to get approved using your artist app?""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey there! The verification process can take a few weeks to complete. Hope that helps /NQ""",Hey there! The verification process can take a few weeks to complete. Hope that helps,2,2,1,1,0,roy12,
REV-016,SpotifyCares:1816107:1816107:1816105,System_Alpha,".@[CUSTOMER_HANDLE] New Feature? ""Failure to Load"" stops service, forces users to tap and load new commercials. #skanks #greedy #deceitful #CrapUX",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,2,2,1,1,0,roy13,
REV-017,SpotifyCares:1816107:1816107:1816105,System_Beta,".@[CUSTOMER_HANDLE] New Feature? ""Failure to Load"" stops service, forces users to tap and load new commercials. #skanks #greedy #deceitful #CrapUX",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thank you for sharing your feedback with us! You can also submit and vote on feature requests on the Spotify Community Ideas board.,0,1,0,1,0,roy14,
REV-018,SpotifyCares:1816107:1816107:1816105,System_Gamma,".@[CUSTOMER_HANDLE] New Feature? ""Failure to Load"" stops service, forces users to tap and load new commercials. #skanks #greedy #deceitful #CrapUX","[Evidence Case 1: SpotifyCares:1222146:1222146:1222145]
Historical Customer Inquiry: ""MY SPOTIFY WONT LOAD""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey there, that doesn't sound right. What device, operating system, and version of Spotify are you using? We'll lend a hand /SY""","Hey there, that doesn't sound right. What device, operating system, and version of Spotify are you using? We'll lend a hand",2,2,2,2,0,roy15,
REV-019,SpotifyCares:1681220:1681220:1681219,System_Alpha,@SpotifyCares what happen with you? https://t.co/vvMSrVGib3,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,1,1,0,roy16,
REV-020,SpotifyCares:1681220:1681220:1681219,System_Beta,@SpotifyCares what happen with you? https://t.co/vvMSrVGib3,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,0,1,0,1,0,roy17,
REV-021,SpotifyCares:1681220:1681220:1681219,System_Gamma,@SpotifyCares what happen with you? https://t.co/vvMSrVGib3,"[Evidence Case 1: SpotifyCares:2523598:2523598:2523597]
Historical Customer Inquiry: ""Hey @[CUSTOMER_HANDLE], what's wrong with you? We want #Reputation""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hi, Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c /RB""","Hi, Taylor Swift's 'Reputation' isn't available to stream just yet – stay tuned! For now, check out the singles:",2,2,2,1,0,roy18,
REV-022,SpotifyCares:892442:892441:892439,System_Alpha,@[CUSTOMER_HANDLE] @SpotifyCares you've had 2+ years to develop a watch app. it's not hard. sorry to see you go. kind of a bummer but there's just no excuse?,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,0,2,0,1,0,roy19,
REV-023,SpotifyCares:892442:892441:892439,System_Beta,@[CUSTOMER_HANDLE] @SpotifyCares you've had 2+ years to develop a watch app. it's not hard. sorry to see you go. kind of a bummer but there's just no excuse?,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"We recommend performing a clean reinstall of the app and clearing cache. If playback issues persist, please reply with your device model and OS version!",0,1,0,1,0,roy20,
REV-024,SpotifyCares:892442:892441:892439,System_Gamma,@[CUSTOMER_HANDLE] @SpotifyCares you've had 2+ years to develop a watch app. it's not hard. sorry to see you go. kind of a bummer but there's just no excuse?,"[Evidence Case 1: SpotifyCares:2136549:2136549:2136548]
Historical Customer Inquiry: ""I see you with the follow @[CUSTOMER_HANDLE] 😎👊🏻""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey there! Let us know if you ever need assistance. We'll be sure to assist 🔥 /KP""",Hey there! Let us know if you ever need assistance. We'll be sure to assist 🔥,1,1,1,1,0,roy21,
REV-025,SpotifyCares:1614273:1614273:1614271,System_Alpha,"@SpotifyCares cant restore it, not sure what to do",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,2,1,1,0,roy22,
REV-026,SpotifyCares:1614273:1614273:1614271,System_Beta,"@SpotifyCares cant restore it, not sure what to do",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,0,1,0,1,0,roy23,
REV-027,SpotifyCares:1614273:1614273:1614271,System_Gamma,"@SpotifyCares cant restore it, not sure what to do","[Evidence Case 1: SpotifyCares:2774569:2774569:2774568]
Historical Customer Inquiry: ""@SpotifyCares cant register my account to the new promo. What to do?""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hi! We've just sent a DM your way. Let's carry on chatting there /GK""",Hi! We've just sent a DM your way. Let's carry on chatting there,2,1,2,1,0,roy24,
REV-028,SpotifyCares:2877413:2877413:2877411,System_Alpha,"@[CUSTOMER_HANDLE] the app is bugging me for about last month - on both iPad/iPhone it stops playing before going to next song at random (mostly with recently added to playlist, but not all). I've already even uninstalled the app, didn't help - any update on this to be released? 🙁",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,1,1,0,roy25,
REV-029,SpotifyCares:2877413:2877413:2877411,System_Beta,"@[CUSTOMER_HANDLE] the app is bugging me for about last month - on both iPad/iPhone it stops playing before going to next song at random (mostly with recently added to playlist, but not all). I've already even uninstalled the app, didn't help - any update on this to be released? 🙁",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"We recommend performing a clean reinstall of the app and clearing cache. If playback issues persist, please reply with your device model and OS version!",2,1,2,1,0,roy26,
REV-030,SpotifyCares:2877413:2877413:2877411,System_Gamma,"@[CUSTOMER_HANDLE] the app is bugging me for about last month - on both iPad/iPhone it stops playing before going to next song at random (mostly with recently added to playlist, but not all). I've already even uninstalled the app, didn't help - any update on this to be released? 🙁","[Evidence Case 1: SpotifyCares:2272774:2272774:2272773]
Historical Customer Inquiry: ""@SpotifyCares Hi when’s the app going to be optimised for the iPhone X?""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey there! We’re working on it as we speak. Stay tuned 🔧 /M""",Hey there! We’re working on it as we speak. Stay tuned 🔧 /M,1,1,1,2,0,roy27,
REV-031,SpotifyCares:1269780:1269780:1269779,System_Alpha,@SpotifyCares Hey I can't access my account since you tested out could you help me out?,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,1,1,0,roy28,
REV-032,SpotifyCares:1269780:1269780:1269779,System_Beta,@SpotifyCares Hey I can't access my account since you tested out could you help me out?,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"If you're having trouble logging in or suspect your account was compromised, please reset your password at spotify.com/reset or contact support for account recovery.",2,2,2,2,0,roy29,
REV-033,SpotifyCares:1269780:1269780:1269779,System_Gamma,@SpotifyCares Hey I can't access my account since you tested out could you help me out?,"[Evidence Case 1: SpotifyCares:925090:925090:925088]
Historical Customer Inquiry: ""@SpotifyCares can you help me please""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey there! What's happening exactly? We'd love to help /NG""",Hey there! What's happening exactly? We'd love to help,1,1,2,2,0,roy30,
REV-034,SpotifyCares:1238326:1238326:1238324,System_Alpha,Is there a reason @[CUSTOMER_HANDLE] album 15 isn't on @[CUSTOMER_HANDLE],No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,2,2,2,0,roy31,
REV-035,SpotifyCares:1238326:1238326:1238324,System_Beta,Is there a reason @[CUSTOMER_HANDLE] album 15 isn't on @[CUSTOMER_HANDLE],No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"Music and podcast availability on Spotify depends on licensing agreements with rights holders, which can vary by region and change over time.",2,0,1,1,0,roy32,
REV-036,SpotifyCares:1238326:1238326:1238324,System_Gamma,Is there a reason @[CUSTOMER_HANDLE] album 15 isn't on @[CUSTOMER_HANDLE],"[Evidence Case 1: SpotifyCares:2944927:2944927:2944925]
Historical Customer Inquiry: ""IS THERE A REASON I DONT SEE ANY @[CUSTOMER_HANDLE] MUSIC ON @[CUSTOMER_HANDLE] ???? IM HURT.""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey there! Just to check, are you looking for this band: https://t.co/LRYKfTkdsg? Can you also tell us the country that you're in? /SY""","Hey there! Just to check, are you looking for this band: ? Can you also tell us the country that you're in?",0,1,0,1,0,roy33,
REV-037,SpotifyCares:1662710:1662710:1662709,System_Alpha,"great, i have no music to listen to since my apple music expired, spotify doesnt work and that old ass app only has sad ass songs.fuck",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,0,1,2,0,roy34,
REV-038,SpotifyCares:1662710:1662710:1662709,System_Beta,"great, i have no music to listen to since my apple music expired, spotify doesnt work and that old ass app only has sad ass songs.fuck",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"We recommend performing a clean reinstall of the app and clearing cache. If playback issues persist, please reply with your device model and OS version!",0,1,1,1,0,roy35,
REV-039,SpotifyCares:1662710:1662710:1662709,System_Gamma,"great, i have no music to listen to since my apple music expired, spotify doesnt work and that old ass app only has sad ass songs.fuck","[Evidence Case 1: SpotifyCares:2070326:2070326:2070325]
Historical Customer Inquiry: ""@SpotifyCares 
Apple Watch 3 = BYE Spotify HELLO Apple Music.""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey three! Check out the official idea and add your vote to let our devs know it's something you'd like to see: https://t.co/SEK4E4gi22 /AR""",Hey three! Check out the official idea and add your vote to let our devs know it's something you'd like to see:,2,1,2,0,0,roy36,
REV-040,SpotifyCares:1974290:1974290:1974289,System_Alpha,@SpotifyCares why is that my queue only plays 50 songs from a 100 song playlist?,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,0,1,1,2,0,roy37,
REV-041,SpotifyCares:1974290:1974290:1974289,System_Beta,@SpotifyCares why is that my queue only plays 50 songs from a 100 song playlist?,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"Music and podcast availability on Spotify depends on licensing agreements with rights holders, which can vary by region and change over time.",1,1,2,1,0,roy38,
REV-042,SpotifyCares:1974290:1974290:1974289,System_Gamma,@SpotifyCares why is that my queue only plays 50 songs from a 100 song playlist?,"[Evidence Case 1: SpotifyCares:1093473:1093473:1093472]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] why is it when I play the new @[CUSTOMER_HANDLE] album, it only plays one song &amp; then stops?  I just want to listen to some new fkn DH""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey! Can you let us know which device/OS and Spotify version you're using? We'll see what we can suggest /YM""",Hey! Can you let us know which device/OS and Spotify version you're using? We'll see what we can suggest,0,2,1,0,0,roy39,
REV-043,SpotifyCares:2028417:2028417:2028416,System_Alpha,@[CUSTOMER_HANDLE] I cancelled Spotify but u have taken payment again ?,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,2,2,1,2,0,roy40,
REV-044,SpotifyCares:2028417:2028417:2028416,System_Beta,@[CUSTOMER_HANDLE] I cancelled Spotify but u have taken payment again ?,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"For billing inquiries and payment updates, check your subscription status and payment methods at spotify.com/account or contact your bank.",0,1,1,1,0,roy41,
REV-045,SpotifyCares:2028417:2028417:2028416,System_Gamma,@[CUSTOMER_HANDLE] I cancelled Spotify but u have taken payment again ?,"[Evidence Case 1: SpotifyCares:1930155:1930155:1930154]
Historical Customer Inquiry: ""@SpotifyCares Hi! Is there anyway to expedite this? Understandable it's the weekend but these wrong tracks have taken over our profile ☹️ https://t.co/GuuJVwM0H8""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hi there, sorry to hear that. We’d recommend reaching out to your distributor. They'll work with our team to make sure this gets fixed /NY""","Hi there, sorry to hear that. We’d recommend reaching out to your distributor. They'll work with our team to make sure this gets fixed",1,2,2,1,0,roy42,
REV-046,SpotifyCares:564524:564524:564522,System_Alpha,@SpotifyCares Is there a way to get @[CUSTOMER_HANDLE] to work behind a corp proxy with blocks WebSockets? The http=1 URL param no longer works after the web player change.,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,2,2,1,2,0,roy43,
REV-047,SpotifyCares:564524:564524:564522,System_Beta,@SpotifyCares Is there a way to get @[CUSTOMER_HANDLE] to work behind a corp proxy with blocks WebSockets? The http=1 URL param no longer works after the web player change.,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,1,1,1,0,0,roy44,
REV-048,SpotifyCares:564524:564524:564522,System_Gamma,@SpotifyCares Is there a way to get @[CUSTOMER_HANDLE] to work behind a corp proxy with blocks WebSockets? The http=1 URL param no longer works after the web player change.,"[Evidence Case 1: SpotifyCares:2017302:2017302:2017301]
Historical Customer Inquiry: ""@SpotifyCares is there a way to message a song to somebody within the mobile app?""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] 1: Hey [CUSTOMER_NAME]! We're afraid it's not possible to message a song right now, but we have many ways you can share music with others here...""","1: Hey ! We're afraid it's not possible to message a song right now, but we have many ways you can share music with others here...",0,0,1,1,0,roy45,
REV-049,SpotifyCares:971889:971889:971888,System_Alpha,"@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] @SpotifyCares feature: all the things I recently followed (artist, playlist, etc) in one feed. Keep me interested",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,2,1,2,2,0,roy46,
REV-050,SpotifyCares:971889:971889:971888,System_Beta,"@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] @SpotifyCares feature: all the things I recently followed (artist, playlist, etc) in one feed. Keep me interested",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"Music and podcast availability on Spotify depends on licensing agreements with rights holders, which can vary by region and change over time.",1,2,1,0,0,roy47,
REV-051,SpotifyCares:971889:971889:971888,System_Gamma,"@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] @SpotifyCares feature: all the things I recently followed (artist, playlist, etc) in one feed. Keep me interested","[Evidence Case 1: SpotifyCares:2317029:2317028:2317027]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] @SpotifyCares do it""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hi there! We’ll have it available to you as soon as it’s available to us. More info here: https://t.co/0i8GpimuDa /NY""",Hi there! We’ll have it available to you as soon as it’s available to us. More info here:,2,1,2,1,0,roy48,
REV-052,SpotifyCares:1898607:1898607:1898606,System_Alpha,"@[CUSTOMER_HANDLE] Hi, I applied for a Student Discount and I was charged even tho I didn't finish registration since my school wasn't listed 🙁",No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,2,2,2,2,0,roy49,
REV-053,SpotifyCares:1898607:1898607:1898606,System_Beta,"@[CUSTOMER_HANDLE] Hi, I applied for a Student Discount and I was charged even tho I didn't finish registration since my school wasn't listed 🙁",No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"For billing inquiries and payment updates, check your subscription status and payment methods at spotify.com/account or contact your bank.",1,1,0,1,0,roy50,
REV-054,SpotifyCares:1898607:1898607:1898606,System_Gamma,"@[CUSTOMER_HANDLE] Hi, I applied for a Student Discount and I was charged even tho I didn't finish registration since my school wasn't listed 🙁","[Evidence Case 1: SpotifyCares:1863636:1863636:1863635]
Historical Customer Inquiry: ""@SpotifyCares hi I applied for student discount at €4.99 p/m and it’s verified with a email to confirm and it took €9.99 out of my account?""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey [CUSTOMER_NAME], help's here! Can you DM us your account's username and email address? We'll take a look backstage /MQ https://t.co/ldFdZRiNAt""","Hey , help's here! Can you DM us your account's username and email address? We'll take a look backstage",1,2,2,0,0,roy51,
REV-055,SpotifyCares:2863030:2863030:2863029,System_Alpha,@[CUSTOMER_HANDLE] why can't the song length be next to the title just wondering,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,0,1,1,1,0,roy52,
REV-056,SpotifyCares:2863030:2863030:2863029,System_Beta,@[CUSTOMER_HANDLE] why can't the song length be next to the title just wondering,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"Music and podcast availability on Spotify depends on licensing agreements with rights holders, which can vary by region and change over time.",1,0,1,1,0,roy53,
REV-057,SpotifyCares:2863030:2863030:2863029,System_Gamma,@[CUSTOMER_HANDLE] why can't the song length be next to the title just wondering,"[Evidence Case 1: SpotifyCares:379489:379489:379488]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] why I can't stream Amy Winehouse's songs? 😔""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey! Help's here. Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest /RA""","Hey! Help's here. Can you let us know what device, operating system, and Spotify version you're using? We'll see what we can suggest",0,1,1,0,0,roy54,
REV-058,SpotifyCares:1990907:1990907:1990906,System_Alpha,@SpotifyCares moved my music from Groove but didn't get the offer for 60 days of premium. Read the terms but don't see why I wouldn't get it,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,1,2,2,0,roy55,
REV-059,SpotifyCares:1990907:1990907:1990906,System_Beta,@SpotifyCares moved my music from Groove but didn't get the offer for 60 days of premium. Read the terms but don't see why I wouldn't get it,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"You can manage your subscription tier, Family plan member invites, and account settings directly at spotify.com/account.",1,2,2,0,0,roy56,
REV-060,SpotifyCares:1990907:1990907:1990906,System_Gamma,@SpotifyCares moved my music from Groove but didn't get the offer for 60 days of premium. Read the terms but don't see why I wouldn't get it,"[Evidence Case 1: SpotifyCares:2081915:2081915:2081914]
Historical Customer Inquiry: ""@[CUSTOMER_HANDLE] Hello, I just moved from Groove to Spotify but I can't find the 60 days free offer ? It says I can benefit it but I can't find it.""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] @[CUSTOMER_HANDLE] Hey [CUSTOMER_NAME]! We'll help out, don't worry. Can you send over your account's username or email address via DM? We'll take a look backstage /GN https://t.co/ldFdZRiNAt""","Hey ! We'll help out, don't worry. Can you send over your account's username or email address via DM? We'll take a look backstage",1,1,1,1,0,roy57,
REV-061,SpotifyCares:2959349:2959349:2959347,System_Alpha,@SpotifyCares https://t.co/iD87G8sgyd is down?,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,0,0,1,0,0,roy58,
REV-062,SpotifyCares:2959349:2959349:2959347,System_Beta,@SpotifyCares https://t.co/iD87G8sgyd is down?,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! Let us know how we can assist with your Spotify account or music playback.,2,1,2,2,0,roy59,
REV-063,SpotifyCares:2959349:2959349:2959347,System_Gamma,@SpotifyCares https://t.co/iD87G8sgyd is down?,"[Evidence Case 1: SpotifyCares:2917909:2917909:2917908]
Historical Customer Inquiry: ""Spotify is down in Sydney :(""
Historical Brand Reply: ""@[CUSTOMER_HANDLE] Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now /JS""","Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now",0,1,1,0,0,roy60,
REV-064,SpotifyCares:2144256:2144256:2144254,System_Alpha,@SpotifyCares i just activated a voucher a it didnt give me premium,No evidence was used (fixed majority baseline; no retrieval mechanism).,Thanks for reaching out to Spotify Cares! We've forwarded your message to a support specialist who will review your account details shortly. Send us a DM if you need anything else.,1,2,1,1,0,roy61,
REV-065,SpotifyCares:2144256:2144256:2144254,System_Beta,@SpotifyCares i just activated a voucher a it didnt give me premium,No evidence was used (deterministic heuristic rules; no retrieval mechanism).,"You can manage your subscription tier, Family plan member invites, and account settings directly at spotify.com/account.",1,0,0,0,0,roy62,
