example_id,intent,handling_decision,handling_reason,required_reply_elements,prohibited_claims_or_actions,needs_clarification,annotation_confidence,annotator_id,notes
SpotifyCares:1535159:1535157:1535155,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,Jishnu Roy,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1578726:1578722:1578720,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,Jishnu Roy,"[Subset: challenge] Social mention, praise, banter, or ambiguous message."
SpotifyCares:16535:16533:16531,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1695043:1695042:1695041,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:1745143:1745141:1745140,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,Jishnu Roy,[Subset: challenge] Billing / payment method inquiry.
SpotifyCares:174975:174967:174969,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:1768995:1768995:1768994,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1803125:1803124:1803123,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:184176:184171:184169,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:1858491:1858489:1858487,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:1917832:1917832:1917831,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1921260:1921260:1921259,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:1939189:1939188:1939187,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:1948209:1948207:1948206,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1964142:1964142:1964141,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1971842:1971842:1971841,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:1979790:1979788:1979786,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: challenge] Content licensing or availability question.
SpotifyCares:2059128:2059128:2059127,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:211091:211089:211088,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:2218827:2218827:2218825,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:2259597:2259595:2259594,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: challenge] Content licensing or availability question.
SpotifyCares:2344417:2344412:2344414,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,False,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:2427676:2427674:2427671,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:2432972:2432971:2432970,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: challenge] Content licensing or availability question.
SpotifyCares:2460088:2460087:2460086,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: challenge] Product feedback / feature suggestion or UX complaint.
SpotifyCares:2466915:2551340:2551338,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: challenge] Content licensing or availability question.
SpotifyCares:2754908:2754907:2754906,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: challenge] Product feedback / feature suggestion or UX complaint.
SpotifyCares:2763666:2763665:2763664,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,Jishnu Roy,[Subset: challenge] Billing / payment method inquiry.
SpotifyCares:2917881:2917881:2917880,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:2924742:2924743:2926807,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: challenge] Technical support / app performance issue.
SpotifyCares:2929840:2929839:2929838,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:328171:328171:328170,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:379742:379741:379740,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:379991:379991:379992,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: challenge] Content licensing or availability question.
SpotifyCares:45742:45741:45740,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:54754:54753:54752,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: challenge] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:707084:707083:707085,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:76242:76242:76241,account_access,escalate,security_compromise_account_takeover,treat as urgent security issue; direct immediately to account security specialist / secure contact form; advise securing email account,do not request passwords or sensitive credentials publicly; do not dismiss compromise claim,False,high,Jishnu Roy,[Subset: challenge] Security compromise / account takeover reported.
SpotifyCares:784880:784875:784874,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: challenge] Account management inquiry.
SpotifyCares:1026773:1026773:1026772,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,Jishnu Roy,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1101343:1101343:1101342,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1118202:1118202:1118201,billing_and_payments,escalate,billing_dispute_or_refund,acknowledge billing dispute; direct to secure billing support / DM with account email and receipt details; explain refund evaluation process,"do not ask for credit card numbers, CVV, or bank credentials publicly; do not promise unconditional refunds before verification",False,high,Jishnu Roy,"[Subset: random] Billing dispute, double charge, or refund request."
SpotifyCares:1140003:1140003:1140004,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: random] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1147127:1147127:1147126,subscription_and_plans,auto_handle,subscription_plan_guidance,explain plan features and eligibility terms; direct to official subscription overview page at spotify.com/premium,do not grant unapproved discounts; do not misstate plan eligibility rules,False,high,Jishnu Roy,"[Subset: random] Subscription plan features, pricing promo, or eligibility question."
SpotifyCares:1209357:1209357:1209356,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1238326:1238326:1238324,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1269780:1269780:1269779,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1277339:1277339:1277337,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:128862:128862:128861,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1302227:1302227:1302225,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:130413:130413:130412,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:135142:135142:135141,platform_and_regional,auto_handle,regional_or_device_compatibility_guidance,explain platform/regional compatibility; direct to official newsroom or partner setup guide,do not promise unannounced regional launch dates or unreleased integrations,False,high,Jishnu Roy,[Subset: random] Platform compatibility or regional availability inquiry.
SpotifyCares:1376536:1376532:1376530,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1376539:1376539:1376538,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1415657:1415657:1415656,platform_and_regional,auto_handle,regional_or_device_compatibility_guidance,explain platform/regional compatibility; direct to official newsroom or partner setup guide,do not promise unannounced regional launch dates or unreleased integrations,False,high,Jishnu Roy,[Subset: random] Platform compatibility or regional availability inquiry.
SpotifyCares:1427224:1427224:1427223,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1430112:1430112:1430111,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1487007:1487007:1487006,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1533093:1533093:1533092,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1555406:1555406:1555405,billing_and_payments,auto_handle,payment_failure_guidance,guide to update payment method at spotify.com/account; advise checking with card issuer / bank for transaction blocks; suggest alternative payment options,do not ask for payment or credit card details publicly; do not promise payment override or free premium,False,high,Jishnu Roy,[Subset: random] Payment processing issue purchasing Premium subscription.
SpotifyCares:1602049:1602049:1602048,account_access,escalate,facebook_deletion_account_recovery,empathize with lockout; explain that accounts created via Facebook need support assistance to migrate to email login; direct to secure contact form or DM,do not tell user account is permanently lost; do not ask for Facebook password,False,high,Jishnu Roy,[Subset: random] Facebook deletion / disconnection account lockout.
SpotifyCares:1614273:1614273:1614271,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1662710:1662710:1662709,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1667926:1667926:1667925,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1677555:1677555:1677554,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,Jishnu Roy,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:1681220:1681220:1681219,other_or_ambiguous,auto_handle,social_banter_or_ambiguous_acknowledgement,polite and helpful acknowledgment; ask how Spotify can assist if they are experiencing an issue,do not guess unsupported facts; do not engage in heated arguments,True,high,Jishnu Roy,"[Subset: random] Social mention, praise, banter, or ambiguous message."
SpotifyCares:172472:172472:172471,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1776708:1776708:1776706,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1787279:1787279:1787278,account_access,auto_handle,self_service_account_guidance,provide link to password reset tool (spotify.com/password-reset); explain email lookup options; provide link to contact form if reset email not received,do not ask for account password or plaintext credentials in public tweets,False,high,Jishnu Roy,[Subset: random] Account login / self-service password reset guidance.
SpotifyCares:1803339:1803339:1803338,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1810810:1810810:1810809,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,Jishnu Roy,[Subset: random] Billing / payment method inquiry.
SpotifyCares:1811278:1811278:1811277,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: random] Product feedback / feature suggestion or UX complaint.
SpotifyCares:1814490:1814490:1814489,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1815249:1815249:1815248,billing_and_payments,escalate,billing_dispute_or_refund,acknowledge billing dispute; direct to secure billing support / DM with account email and receipt details; explain refund evaluation process,"do not ask for credit card numbers, CVV, or bank credentials publicly; do not promise unconditional refunds before verification",False,high,Jishnu Roy,"[Subset: random] Billing dispute, double charge, or refund request."
SpotifyCares:1816107:1816107:1816105,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1816318:1816318:1816317,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1818682:1818682:1818681,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: random] Product feedback / feature suggestion or UX complaint.
SpotifyCares:1826282:1826282:1826284,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1826539:1826539:1826537,billing_and_payments,escalate,billing_dispute_or_refund,acknowledge billing dispute; direct to secure billing support / DM with account email and receipt details; explain refund evaluation process,"do not ask for credit card numbers, CVV, or bank credentials publicly; do not promise unconditional refunds before verification",False,high,Jishnu Roy,"[Subset: random] Billing dispute, double charge, or refund request."
SpotifyCares:1831601:1831601:1831600,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: random] Product feedback / feature suggestion or UX complaint.
SpotifyCares:1849609:1849609:1849608,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: random] Product feedback / feature suggestion or UX complaint.
SpotifyCares:1850804:1850804:1850803,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: random] Product feedback / feature suggestion or UX complaint.
SpotifyCares:1872388:1872388:1872387,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1872721:1872721:1872720,content_availability,auto_handle,licensing_explanation,explain that music availability depends on agreements between Spotify and rights holders/labels; note that catalogs can vary over time and by country,do not promise specific release dates unless officially announced; do not guarantee missing content will return,False,high,Jishnu Roy,[Subset: random] Content licensing or availability question.
SpotifyCares:1873073:1873073:1873071,product_feedback,auto_handle,feature_feedback_guidance,thank customer for feedback; direct to Spotify Community Ideas board,do not promise feature implementation in next update; do not dismiss customer frustration,False,high,Jishnu Roy,[Subset: random] Product feedback / feature suggestion or UX complaint.
SpotifyCares:1876893:1876893:1876892,billing_and_payments,auto_handle,payment_method_guidance,explain accepted payment methods and how to update payment details at spotify.com/account,do not ask for payment details publicly,False,high,Jishnu Roy,[Subset: random] Billing / payment method inquiry.
SpotifyCares:1879488:1879488:1879487,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1883120:1883120:1883119,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,True,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1887548:1887548:1887547,account_access,auto_handle,self_service_account_guidance,provide link to password reset tool (spotify.com/password-reset); explain email lookup options; provide link to contact form if reset email not received,do not ask for account password or plaintext credentials in public tweets,False,high,Jishnu Roy,[Subset: random] Account login / self-service password reset guidance.
SpotifyCares:1898607:1898607:1898606,billing_and_payments,escalate,billing_dispute_or_refund,acknowledge billing dispute; direct to secure billing support / DM with account email and receipt details; explain refund evaluation process,"do not ask for credit card numbers, CVV, or bank credentials publicly; do not promise unconditional refunds before verification",False,high,Jishnu Roy,"[Subset: random] Billing dispute, double charge, or refund request."
SpotifyCares:1914285:1914285:1914284,account_access,auto_handle,self_service_account_guidance,provide self-service account management link; explain profile/address change rules,do not request personal credentials in public,False,high,Jishnu Roy,[Subset: random] Account management inquiry.
SpotifyCares:1918356:1918356:1918355,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,False,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
SpotifyCares:1963231:1963231:1963228,technical_support,auto_handle,standard_troubleshooting,suggest restarting app; recommend clean reinstall; ask for device model and app version,do not claim outage without verification; do not dismiss user bug report,False,high,Jishnu Roy,[Subset: random] Technical support / app performance issue.
